33.1,98.3,571.2
33.1,98.3,571.2
33.1,98.3,571.2
33.1,98.7,571.2
33.5,98.3,571.2
-3.0,94.0,569.4
-6.1,93.5,568.5
-27.8,86.6,566.8
-35.2,84.0,565.9
-50.5,77.0,564.6
-58.7,72.2,563.3
-67.4,67.0,562.5
-67.4,66.6,562.5
-68.3,66.1,562.0
-83.1,55.2,560.3
-91.8,47.9,559.4
-105.7,32.6,557.7
-109.2,28.3,557.2
-119.6,13.5,555.9
-125.3,4.8,555.1
-136.6,-20.4,553.3
-137.5,-22.6,552.9
-140.9,-33.5,552.5
-144.9,-47.9,552.0
-147.9,-74.0,551.6
-148.8,-81.3,551.6
-147.9,-101.8,551.1
-146.6,-115.3,551.1
-139.2,-146.6,551.1
-132.2,-165.3,550.7
-124.0,-181.4,551.1
-117.9,-191.0,551.1
-105.7,-207.1,551.1
-104.0,-209.2,551.1
-91.3,-221.9,551.6
-88.3,-224.9,551.6
-70.5,-238.4,552.0
-64.8,-242.3,552.0
-40.9,-255.8,553.3
-130.5,-169.7,550.7
-65.7,-241.9,552.0
-44.4,-254.0,552.9
-19.1,-264.0,554.2
-3.9,-268.4,555.1
16.5,-272.7,555.9
26.1,-273.6,556.4
48.7,-274.5,557.2
57.4,-274.5,557.7
86.1,-271.0,558.5
102.7,-267.1,559.4
111.8,-264.0,559.8
124.4,-259.3,560.7
143.6,-248.8,562.5
151.8,-244.0,562.9
172.7,-228.8,564.2
179.7,-221.9,565.1
201.8,-193.6,566.8
205.8,-187.5,567.2
219.2,-157.9,566.8
223.2,-144.9,566.8
227.9,-124.4,566.4
229.7,-106.1,565.9
230.1,-97.0,565.9
227.9,-62.6,565.5
221.9,-38.3,566.8
213.6,-15.7,567.7
206.2,-1.3,568.1
184.4,30.0,569.9
168.3,46.5,570.7
150.5,60.9,570.7
139.6,68.3,570.7
116.6,80.0,570.7
102.7,85.7,569.9
67.4,94.4,568.5
57.0,95.7,568.1
41.3,96.6,566.8
32.6,96.6,566.4
6.1,94.0,564.6
-1.7,92.2,564.6
-35.7,81.8,562.9
-47.0,76.6,562.0
-57.0,71.3,561.6
-72.6,60.9,560.3
-89.6,47.4,559.0
-107.0,28.3,556.8
-137.9,-29.6,553.3
-145.3,-60.0,552.5
-146.6,-98.7,552.0
-140.9,-134.9,551.1
-110.5,-198.8,549.4
-79.2,-231.4,549.4
-29.1,-260.1,551.1
-4.8,-268.0,552.5
67.0,-273.6,559.0
86.6,-270.6,560.7
137.5,-252.7,563.8
161.8,-237.1,565.1
198.4,-197.5,565.9
214.9,-166.6,565.9
227.1,-120.5,566.8
228.4,-102.7,567.2
221.9,-40.9,568.5
210.5,-11.7,570.3
182.7,31.3,572.9
160.1,53.5,573.8
119.6,78.7,572.9
99.6,86.6,571.6
44.8,96.6,567.2
23.9,96.1,565.1
-25.2,86.1,561.6
-35.7,82.2,560.7
-51.8,74.4,559.8
-78.7,56.5,559.0
-95.3,41.8,558.1
-127.0,-2.6,555.1
-139.2,-32.2,553.3
-147.5,-80.9,551.1
-146.2,-110.5,550.3
-112.2,-197.9,551.1
-43.9,-254.5,552.5
82.2,-271.4,559.0
138.8,-251.9,561.2
229.2,-78.7,568.5
201.4,6.1,572.5
-26.1,85.3,561.2
-122.7,5.2,556.4
-126.6,-174.9,549.0
-80.0,-230.6,550.7
105.3,-265.8,559.0
183.1,-216.6,564.2
229.2,-96.1,568.5
221.9,-40.0,571.2
153.1,58.7,569.9
87.4,90.9,568.1
-30.0,84.4,565.1
-140.5,-35.2,554.2
40.9,-274.5,557.2
144.9,-248.8,561.6
221.9,-149.2,567.7
227.5,-63.1,568.1
127.5,74.4,568.1
114.8,80.5,568.1
97.9,87.0,568.1
-10.0,91.3,565.9
-117.0,17.0,555.1
-147.5,-66.1,551.1
54.4,-274.5,557.2
203.1,-191.8,566.4
11.3,96.1,565.1
-143.1,-43.9,550.7
174.0,-227.1,564.2
219.7,-30.9,568.5
-147.9,-94.4,551.6
-80.0,-232.7,550.3
224.0,-43.5,568.5
177.9,37.4,572.0
229.7,-74.0,567.2
212.7,-173.1,562.0
172.3,-227.1,561.2
-45.2,-254.9,551.1
-114.4,-199.2,550.3
-120.1,20.4,556.8
-80.5,61.8,560.3
30.9,100.1,567.7
97.9,89.6,572.9
228.4,-65.7,567.2
226.2,-134.0,565.5
148.3,-244.9,561.2
6.1,-270.1,553.8
